FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
13095,Dougherty County,Georgia,13095_2019,2019,87956,63.66819774,0,1,63.66819774,1,3.811509328,0,0,0,0,0,0,62.53126563,1.136932102,0,18.21929395
1019,Cherokee County,Alabama,01019_2017,2017,25897,1563.888,185.3497,3,1378.538,5,0,11.5843534,30.89160907,26.02128254,7.722902267,135.1507897,505.8500985,756.8444221,115.843534,0,16.22714586
13127,Glynn County,Georgia,13127_2018,2018,85219,0,0,1,0,1,3.800258795,0,0,0,0,0,0,0,0,0,18.36156945
13141,Hancock County,Georgia,13141_2013,2013,8898,651.8318723,0,1,651.8318723,3,0,0,0.001767725,0,0,0,179.8156889,438.3007417,33.71544167,0,17.29686146
13151,Henry County,Georgia,13151_2016,2016,221768,60.87442733,0,1,60.87442733,1,11.12009879,0,0.016177513,0,0,0,0,60.87442733,0,0,18.87673962
1021,Chilton County,Alabama,01021_2017,2017,43817,2015.2,383.4128,3,1631.787,5,0,4.56443846,34.23328845,29.30930084,15.97553461,328.6395691,611.6347536,839.8566766,180.2953192,0,14.64292658
13151,Henry County,Georgia,13151_2018,2018,230220,33.88063591,0,1,33.88063591,1,18.38859959,0,0,0,0,0,0,33.88063591,0,10.82703906,20.44543594
13193,Macon County,Georgia,13193_2013,2013,13961,601.6760977,0,1,601.6760977,3,0,0,0.048986397,0,0,0,286.5124275,293.6752382,21.48843206,0,18.66588687
13193,Macon County,Georgia,13193_2014,2014,13792,630.800464,0,1,630.800464,3,0,0,0.020048649,0,0,0,181.2645012,420.5336427,29.00232019,0,17.50157699
13193,Macon County,Georgia,13193_2015,2015,13632,447.4765258,0,1,447.4765258,3,0,0,0.056803559,0,0,0,205.399061,227.4061033,14.6713615,0,18.49201456
1023,Choctaw County,Alabama,01023_2017,2017,13287,255.8892,97.84,3,158.0492,1,0,7.526153383,0,0,0,90.3138406,30.10461353,97.83999398,30.10461353,0,16.96585093
13201,Miller County,Georgia,13201_2014,2014,5958,453.1722054,0,1,453.1722054,3,0,0,0,0,0,0,134.2732461,218.1940248,100.7049345,0,14.85847759
13215,Muscogee County,Georgia,13215_2014,2014,200887,0,0,1,0,1,9.672907516,0,0.005376375,0,0,0,0,0,0,0,18.84132116
13215,Muscogee County,Georgia,13215_2015,2015,200579,0,0,1,0,1,15.17076899,0,0.062541176,0,0,0,0,0,0,8.323770606,20.01604961
