FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
3020880,Pleasant Valley Elementary School District,Flathead County,Montana,20880,,,,,,,,,,3,100,0,0,0,0,0,0,3,0,0,0,0
3021030,Polaris Elementary School District,Beaverhead County,Montana,21030,,,,,,,,,,8,100,0,0,0,0,0,0,8,0,0,0,0
3022290,Reichle Elementary School District,Beaverhead County,Montana,22290,,,,,,,,,,22,100,0,0,0,0,0,0,11,0,0,0,0
3011990,Ross Elementary School District,Garfield County,Montana,11990,,,,,,,,,,2,100,0,0,0,0,0,0,2,0,0,0,0
3008010,S Y Elementary School District,Custer County,Montana,8010,,,,,,,,,,2,100,0,0,0,0,0,0,2,0,0,0,0
3012060,Sand Springs Elementary School District,Garfield County,Montana,12060,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
3024690,Spring Creek Colony Elementary School District,Fergus County,Montana,24690,,,,,,,,,,8,100,0,0,0,0,0,0,8,0,0,0,0
3015930,Swan Lake-Salmon Elementary School District,Lake County,Montana,15930,,,,,,,,,,7,100,0,0,0,0,0,0,7,0,0,0,0
3026400,Trail Creek Elementary School District,Custer County,Montana,26400,,,,,,,,,,9,100,0,0,0,0,0,0,9,0,0,0,0
3028170,Willow Creek High School District,Gallatin County,Montana,28170,,,,,,,,,,8,100,0,0,0,0,0,0,2.8,0,0,0,0
3010820,Wise River Elementary School District,Beaverhead County,Montana,10820,,,,,,,,,,8,100,0,0,0,0,0,0,4,0,0,0,0
3010820,Wise River Elementary School District,Deer Lodge County,Montana,10820,,,,,,,,,,8,100,0,0,0,0,0,0,4,0,0,0,0
3028550,Wolf Creek Elementary School District,Lewis and Clark County,Montana,28550,,,,,,,,,,7,100,0,0,0,0,0,0,7,0,0,0,0
3028830,Yaak Elementary School District,Lincoln County,Montana,28830,,,,,,,,,,11,100,0,0,0,0,0,0,11,0,0,0,0
3800037,Central Elementary Public School District 32,Slope County,North Dakota,37,,,,,,,,,,2,100,0,0,0,0,0,0,2,0,0,0,0
3805670,Earl Public School District 18,McKenzie County,North Dakota,5670,,,,,,,,,,0,,,,,,,,,0,#DIV/0!,0,0
3809810,Horse Creek Public School District 32,McKenzie County,North Dakota,9810,,,,,,,,,,9,100,0,0,0,0,0,0,9,0,0,0,0
3811540,Little Heart Public School District 4,Morton County,North Dakota,11540,,,,,,,,,,21,100,0,0,0,0,0,0,7,0,0,0,0
3811970,Manning Public School District 45,Burleigh County,North Dakota,11970,,,,,,,,,,14,100,0,0,0,0,0,0,7,0,0,0,0
3800015,Naughton Public School District 25,Burleigh County,North Dakota,15,,,,,,,,,,9,100,0,0,0,0,0,0,4.5,0,0,0,0
3817940,Sweet Briar Public School District 17,Morton County,North Dakota,17940,,,,,,,,,,20,100,0,0,0,0,0,0,10,0,0,0,0
3904679,Kelleys Island Local School District,Erie County,Ohio,4679,,,,,,,,,,1,100,0,0,0,0,0,0,,0,0,0,0
